"Type","Parameter A","Parameter B","Source","Witness","Variant","Parameter A Name","Parameter B Name","Witness Name",
"A>=B","f88df4d0","ef387d04","Definition","0a63d08b","p-Monotonic","VC Dimension","Effective VC Radius","Addressing",
"A>=B","2ad917e5","3df34125","Sandwich Theorem","","","Largest Shattered Set","Minimum Largest Order Shattered Set","",
"A>=B","3df34125","20d65b4d","Sandwich Theorem","","","Minimum Largest Order Shattered Set","Largest Strongly Shattered Set","",
"A>=B","61cdb597","20d65b4d","Lemma","","","Interpolation degree","Largest Strongly Shattered Set","",
"A>=B","3df34125","ef387d04","Lemma","","","Minimum Largest Order Shattered Set","Effective VC Radius","",
"A>=B","3df34125","61cdb597","Lemma","","","Minimum Largest Order Shattered Set","Interpolation degree","",
"A>=B","7e2124d7","3df34125","Lemma","","","Best Mistakes","Minimum Largest Order Shattered Set","",
"A>=B","153f0f89","e671ee81","Lemma","","","Effective Range","Yang dimension","",
"A=B","2ad917e5","f88df4d0","Definition","","","Largest Shattered Set","VC Dimension","",
"A>=B","69d47998","797018d0","","","","Proper Stable Labeled Sample Compression","co-VC dimension","",
"A>=B","42967b01","8d32b955","","","","Preference-Based Teaching Dimension","No-Clashing Teaching Dimension","",
"A>=B","37a07ee4","6192ffa2","Definition","","Monotonic","Degeneracy","Minimum Degree","",
"A>=B","d65b1577","68a3ca5f","Definition","","","Maximum Degree","Double Density or Average Degree","",
"A=B","f8417a3c","a7cd6d6a","","","","Projected Maximal Degree","Star number","",
"A>=B","f8417a3c","d65b1577","Definition","","p-Monotonic","Projected Maximal Degree","Maximum Degree","",
"A>=B","2dc3ac6d","37a07ee4","Definition","","","Densest Subgraph (twice)","Degeneracy","",
"A>=B","d65b1577","6192ffa2","Definition","","","Maximum Degree","Minimum Degree","",
"A=B","42967b01","47012a6f","(for finite classes)","","","Preference-Based Teaching Dimension","Recursive Teaching Dimension","",
"A>=B","e881cce1","858e433d","Definition","","Relative","Relative Hitting Size","Hitting Size","",
"A>=B","468888a4","47012a6f","Definition","","p-Monotonic","Monotone Recursive Teaching Dimension","Recursive Teaching Dimension","",
"A>=B","abc1e623","193eb40b","Definition","","p-Monotonic","Maximum Projected Teaching Set Size","Maximum Teaching Set Size","",
"A=B","a7cd6d6a","abc1e623","","","","Star number","Maximum Projected Teaching Set Size","",
"A>=B","abc1e623","b8e04827","Definition","","","Maximum Projected Teaching Set Size","Minimum Projected Teaching Set Size","",
