"Parameter","Class","Value","Value class","Image Value","Value Class Image","Class Name","Parameter Name",
"153f0f89","2616bf7f","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Trivial concepts","Effective Range",
"5f7dc155","2616bf7f","$\log n$","$\Omega(\log n)$","https://latex.codecogs.com/png.latex?%5Clog%20n","https://latex.codecogs.com/png.latex?%5COmega%28%5Clog%20n%29","Trivial concepts","Log Shattering",
"ec9a579a","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Membership and Proper Equivalence Queries Complexity",
"50a9f180","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Membership Query Complexity",
"677c5d54","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Projected Membership Queries Complexity",
"47012a6f","0a63d08b","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Addressing","Recursive Teaching Dimension",
"47012a6f","75fb5a45","$2$","$\Omega(1)$","https://latex.codecogs.com/png.latex?2","https://latex.codecogs.com/png.latex?%5COmega%281%29","Tagged Singletons","Recursive Teaching Dimension",
"47012a6f","180d6d50","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Half-intervals","Recursive Teaching Dimension",
"47012a6f","a6e947c1","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Full Cube","Recursive Teaching Dimension",
"47012a6f","33b7931e","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons plus empty set","Recursive Teaching Dimension",
"47012a6f","4716b4fd","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Singletons","Recursive Teaching Dimension",
"47012a6f","2616bf7f","$1$","$\Omega(1)$","https://latex.codecogs.com/png.latex?1","https://latex.codecogs.com/png.latex?%5COmega%281%29","Trivial concepts","Recursive Teaching Dimension",
"a7cd6d6a","1a118b92","$n$","$\Omega(n)$","https://latex.codecogs.com/png.latex?n","https://latex.codecogs.com/png.latex?%5COmega%28n%29","Majority","Star number",
